Learning rate,l2 penalty parameter,Batchsize,Number of Epochs,Performance
0,0,20,5,0.0906
0,0,20,10,0.0906
0,0,20,20,0.0906
0,0,20,40,0.0906
0,0,20,80,0.0906
0,0,20,160,0.0906
0,0,20,320,0.0906
0,0,20,640,0.0906
0,0,20,1280,0.0906
0,0,20,2560,0.0906
0,0,40,5,0.0824
0,0,40,10,0.0824
0,0,40,20,0.0824
0,0,40,40,0.0824
0,0,40,80,0.0824
0,0,40,160,0.0824
0,0,40,320,0.0824
0,0,40,640,0.0824
0,0,40,1280,0.0824
0,0,40,2560,0.0824
0,0,80,5,0.0787
0,0,80,10,0.0775
0,0,80,20,0.0773
0,0,80,40,0.0773
0,0,80,80,0.0773
0,0,80,160,0.0773
0,0,80,320,0.0773
0,0,80,640,0.0773
0,0,80,1280,0.0773
0,0,80,2560,0.0773
0,0,160,5,0.079032
0,0,160,10,0.076411
0,0,160,20,0.075907
0,0,160,40,0.075907
0,0,160,80,0.075907
0,0,160,160,0.075907
0,0,160,320,0.075907
0,0,160,640,0.075907
0,0,160,1280,0.075907
0,0,160,2560,0.075907
0,0,320,5,0.077117
0,0,320,10,0.07379
0,0,320,20,0.072379
0,0,320,40,0.072177
0,0,320,80,0.072177
0,0,320,160,0.072177
0,0,320,320,0.072177
0,0,320,640,0.072177
0,0,320,1280,0.072177
0,0,320,2560,0.072177
0,0,640,5,0.080417
0,0,640,10,0.076979
0,0,640,20,0.072813
0,0,640,40,0.071146
0,0,640,80,0.069896
0,0,640,160,0.069896
0,0,640,320,0.069896
0,0,640,640,0.069896
0,0,640,1280,0.069896
0,0,640,2560,0.069896
0,0,1280,5,0.086049
0,0,1280,10,0.081027
0,0,1280,20,0.078125
0,0,1280,40,0.073772
0,0,1280,80,0.071875
0,0,1280,160,0.070871
0,0,1280,320,0.070871
0,0,1280,640,0.070871
0,0,1280,1280,0.070871
0,0,1280,2560,0.070871
0,0,2560,5,0.097396
0,0,2560,10,0.090625
0,0,2560,20,0.086458
0,0,2560,40,0.082292
0,0,2560,80,0.078125
0,0,2560,160,0.075521
0,0,2560,320,0.074219
0,0,2560,640,0.074219
0,0,2560,1280,0.074219
0,0,2560,2560,0.074219
0,0.1,20,5,0.6169
0,0.1,20,10,0.6169
0,0.1,20,20,0.6169
0,0.1,20,40,0.6169
0,0.1,20,80,0.6169
0,0.1,20,160,0.6169
0,0.1,20,320,0.6169
0,0.1,20,640,0.6169
0,0.1,20,1280,0.6169
0,0.1,20,2560,0.6169
0,0.1,40,5,0.451
0,0.1,40,10,0.451
0,0.1,40,20,0.451
0,0.1,40,40,0.451
0,0.1,40,80,0.451
0,0.1,40,160,0.451
0,0.1,40,320,0.451
0,0.1,40,640,0.451
0,0.1,40,1280,0.451
0,0.1,40,2560,0.451
0,0.1,80,5,0.4773
0,0.1,80,10,0.4773
0,0.1,80,20,0.4773
0,0.1,80,40,0.4773
0,0.1,80,80,0.4773
0,0.1,80,160,0.4773
0,0.1,80,320,0.4773
0,0.1,80,640,0.4773
0,0.1,80,1280,0.4773
0,0.1,80,2560,0.4773
0,0.1,160,5,0.414516
0,0.1,160,10,0.414516
0,0.1,160,20,0.414516
0,0.1,160,40,0.414516
0,0.1,160,80,0.414516
0,0.1,160,160,0.414516
0,0.1,160,320,0.414516
0,0.1,160,640,0.414516
0,0.1,160,1280,0.414516
0,0.1,160,2560,0.414516
0,0.1,320,5,0.388911
0,0.1,320,10,0.353226
0,0.1,320,20,0.353226
0,0.1,320,40,0.353226
0,0.1,320,80,0.353226
0,0.1,320,160,0.353226
0,0.1,320,320,0.353226
0,0.1,320,640,0.353226
0,0.1,320,1280,0.353226
0,0.1,320,2560,0.353226
0,0.1,640,5,0.460521
0,0.1,640,10,0.381875
0,0.1,640,20,0.381875
0,0.1,640,40,0.38
0,0.1,640,80,0.351667
0,0.1,640,160,0.351667
0,0.1,640,320,0.351667
0,0.1,640,640,0.351667
0,0.1,640,1280,0.351667
0,0.1,640,2560,0.351667
0,0.1,1280,5,0.382589
0,0.1,1280,10,0.382589
0,0.1,1280,20,0.356027
0,0.1,1280,40,0.356027
0,0.1,1280,80,0.347879
0,0.1,1280,160,0.347879
0,0.1,1280,320,0.347879
0,0.1,1280,640,0.347879
0,0.1,1280,1280,0.347879
0,0.1,1280,2560,0.347879
0,0.1,2560,5,0.38099
0,0.1,2560,10,0.38099
0,0.1,2560,20,0.341406
0,0.1,2560,40,0.331901
0,0.1,2560,80,0.317057
0,0.1,2560,160,0.297396
0,0.1,2560,320,0.297396
0,0.1,2560,640,0.297396
0,0.1,2560,1280,0.297396
0,0.1,2560,2560,0.297396
0,0.2,20,5,0.6803
0,0.2,20,10,0.6803
0,0.2,20,20,0.6803
0,0.2,20,40,0.6803
0,0.2,20,80,0.6803
0,0.2,20,160,0.6803
0,0.2,20,320,0.6803
0,0.2,20,640,0.6803
0,0.2,20,1280,0.6803
0,0.2,20,2560,0.6803
0,0.2,40,5,0.5276
0,0.2,40,10,0.5006
0,0.2,40,20,0.5006
0,0.2,40,40,0.5006
0,0.2,40,80,0.5006
0,0.2,40,160,0.5006
0,0.2,40,320,0.5006
0,0.2,40,640,0.5006
0,0.2,40,1280,0.5006
0,0.2,40,2560,0.5006
0,0.2,80,5,0.68
0,0.2,80,10,0.68
0,0.2,80,20,0.68
0,0.2,80,40,0.68
0,0.2,80,80,0.68
0,0.2,80,160,0.68
0,0.2,80,320,0.68
0,0.2,80,640,0.68
0,0.2,80,1280,0.68
0,0.2,80,2560,0.68
0,0.2,160,5,0.644859
0,0.2,160,10,0.601109
0,0.2,160,20,0.59879
0,0.2,160,40,0.59879
0,0.2,160,80,0.59879
0,0.2,160,160,0.59879
0,0.2,160,320,0.59879
0,0.2,160,640,0.59879
0,0.2,160,1280,0.59879
0,0.2,160,2560,0.59879
0,0.2,320,5,0.551411
0,0.2,320,10,0.551411
0,0.2,320,20,0.342339
0,0.2,320,40,0.342339
0,0.2,320,80,0.342339
0,0.2,320,160,0.342339
0,0.2,320,320,0.342339
0,0.2,320,640,0.342339
0,0.2,320,1280,0.342339
0,0.2,320,2560,0.342339
0,0.2,640,5,0.525313
0,0.2,640,10,0.519583
0,0.2,640,20,0.519583
0,0.2,640,40,0.480417
0,0.2,640,80,0.428646
0,0.2,640,160,0.428646
0,0.2,640,320,0.428646
0,0.2,640,640,0.428646
0,0.2,640,1280,0.428646
0,0.2,640,2560,0.428646
0,0.2,1280,5,0.441853
0,0.2,1280,10,0.441853
0,0.2,1280,20,0.434487
0,0.2,1280,40,0.434487
0,0.2,1280,80,0.434487
0,0.2,1280,160,0.345536
0,0.2,1280,320,0.345536
0,0.2,1280,640,0.345536
0,0.2,1280,1280,0.345536
0,0.2,1280,2560,0.345536
0,0.2,2560,5,0.479036
0,0.2,2560,10,0.479036
0,0.2,2560,20,0.436719
0,0.2,2560,40,0.436719
0,0.2,2560,80,0.352474
0,0.2,2560,160,0.352474
0,0.2,2560,320,0.352474
0,0.2,2560,640,0.352474
0,0.2,2560,1280,0.352474
0,0.2,2560,2560,0.352474
0,0.3,20,5,0.7538
0,0.3,20,10,0.7538
0,0.3,20,20,0.7538
0,0.3,20,40,0.7538
0,0.3,20,80,0.7538
0,0.3,20,160,0.7538
0,0.3,20,320,0.7538
0,0.3,20,640,0.7538
0,0.3,20,1280,0.7538
0,0.3,20,2560,0.7538
0,0.3,40,5,0.5909
0,0.3,40,10,0.5909
0,0.3,40,20,0.5909
0,0.3,40,40,0.5909
0,0.3,40,80,0.5909
0,0.3,40,160,0.5909
0,0.3,40,320,0.5909
0,0.3,40,640,0.5909
0,0.3,40,1280,0.5909
0,0.3,40,2560,0.5909
0,0.3,80,5,0.6611
0,0.3,80,10,0.6611
0,0.3,80,20,0.6611
0,0.3,80,40,0.6611
0,0.3,80,80,0.6611
0,0.3,80,160,0.6611
0,0.3,80,320,0.6611
0,0.3,80,640,0.6611
0,0.3,80,1280,0.6611
0,0.3,80,2560,0.6611
0,0.3,160,5,0.712601
0,0.3,160,10,0.565423
0,0.3,160,20,0.565423
0,0.3,160,40,0.565423
0,0.3,160,80,0.565423
0,0.3,160,160,0.565423
0,0.3,160,320,0.565423
0,0.3,160,640,0.565423
0,0.3,160,1280,0.565423
0,0.3,160,2560,0.565423
0,0.3,320,5,0.532359
0,0.3,320,10,0.532359
0,0.3,320,20,0.532359
0,0.3,320,40,0.532359
0,0.3,320,80,0.532359
0,0.3,320,160,0.532359
0,0.3,320,320,0.532359
0,0.3,320,640,0.532359
0,0.3,320,1280,0.532359
0,0.3,320,2560,0.532359
0,0.3,640,5,0.555
0,0.3,640,10,0.538229
0,0.3,640,20,0.457917
0,0.3,640,40,0.457917
0,0.3,640,80,0.435417
0,0.3,640,160,0.435417
